visit_id,species,visit_start,visit_end,duration_seconds,max_count_seen
1762168a-ba82-47ae-b354-a4ba8d4abeb2,elephant,2026-05-27 17:43:34,2026-05-27 17:44:00,25.78,1
c02144e9-9e76-45db-8aea-277a9d9828e6,antelope_like,2026-05-27 17:42:28,2026-05-27 17:47:22,293.68,1
aa0fe85f-d3cd-4b1a-b0ad-579ae88d0991,zebra,2026-05-28 09:59:14,2026-05-28 09:59:19,4.63,1
81c82b5c-aa2d-442a-88cb-ede1b0aa0dea,antelope_like,2026-05-28 10:00:02,2026-05-28 10:00:02,0.14,1
b24a80b3-b1d0-4196-961d-3a5fa6fa2c39,bird,2026-05-28 10:00:13,2026-05-28 10:00:13,0.66,1
beec8d62-7856-44a2-a782-136c7a8e27c0,bird,2026-05-28 10:00:32,2026-05-28 10:00:32,0.0,1
c3372b66-dbc9-4d1f-9afb-3d599ad1a092,bird,2026-05-28 10:00:46,2026-05-28 10:00:46,0.0,1
cc465edb-6260-4c6f-adfd-f0f5d01f61e7,antelope_like,2026-05-28 10:01:18,2026-05-28 10:01:18,0.0,1
40b17fec-7f45-4bf4-819a-cff517d224c6,zebra,2026-05-28 10:01:19,2026-05-28 10:01:19,0.0,1
9ca8fa84-1985-45bd-9995-8ca4d9736ede,bird,2026-05-28 10:01:14,2026-05-28 10:01:23,9.71,2
a51d8340-672d-42f3-8213-9b0fb287a6df,zebra,2026-05-28 10:01:56,2026-05-28 10:01:58,2.74,2
5679444b-3afe-4f82-807c-6968c4be4dd5,bird,2026-05-28 10:02:09,2026-05-28 10:02:09,0.08,1
b5f9042d-c5dd-4173-bc88-fcc9a4bf9046,antelope_like,2026-05-29 06:33:59,2026-05-29 06:33:59,0.0,1
090644c7-44aa-48ac-bbfc-8b91e6f6e02d,antelope_like,2026-05-29 06:34:31,2026-05-29 06:34:33,1.53,1
e8899580-c256-4b8b-8262-7594df1a287d,bird,2026-05-29 06:32:46,2026-05-29 06:34:51,124.83,3
d1a164ff-f709-41b8-b5a9-3f1c2949b8ac,bird,2026-05-29 06:35:20,2026-05-29 06:35:31,11.53,1
c8139a5b-32f9-4bc4-9d52-9fc400da896a,bird,2026-05-30 11:59:12,2026-05-30 11:59:12,0.0,1
0f59a2f1-7638-48c8-b703-6b9c3ea6bdb1,zebra,2026-05-30 12:00:02,2026-05-30 12:00:35,33.64,1
d6f97ea0-181b-49ff-87ce-29b973728867,ungulate,2026-05-30 12:00:36,2026-05-30 12:00:39,2.83,1
6c187745-b434-4be4-b50d-74e037a57b93,bird,2026-05-30 12:00:39,2026-05-30 12:00:40,0.3,2
4a2782db-1ff9-4b25-80dc-6ed610c462c7,antelope_like,2026-05-30 12:00:36,2026-05-30 12:00:40,3.87,2
3c7314c3-efa5-480f-9eb9-d214db70001f,bird,2026-05-30 12:00:56,2026-05-30 12:01:00,3.66,1
37e6ad29-6503-493a-80a2-61655d8b6dcc,bird,2026-05-30 12:07:43,2026-05-30 12:07:43,0.13,1
